x1,x2,x3,x4,x5
Afghanistan,41.3,107.38,37.995999999999995,330.4
Albania,47.9,124.53999999999999,44.068,383.2
Algeria,44.875,116.675,41.285,359.0
Angola,41.325,107.44500000000001,38.019,330.6
Antigua and Barbuda,47.125,122.525,43.355,377.0
Argentina,46.45,120.77000000000001,42.734,371.6
Armenia,46.975,122.135,43.217,375.8
Australia,47.875,124.47500000000001,44.045,383.0
Austria,48.725,126.685,44.827,389.8
Azerbaijan,46.85,121.81,43.102000000000004,374.8
Bahamas,47.099999999999994,122.46,43.332,376.79999999999995
Bahrain,48.325,125.64500000000001,44.459,386.6
Bangladesh,44.3,115.18,40.756,354.4
Barbados,47.575,123.69500000000001,43.769,380.6
Belarus,47.55,123.63,43.745999999999995,380.4
Belgium,48.675000000000004,126.555,44.781,389.40000000000003
Belize,43.775,113.815,40.272999999999996,350.2
Benin,42.85,111.41,39.422,342.8
Bermuda,47.4,123.24,43.608,379.2
Bhutan,44.775,116.41499999999999,41.193,358.2
Bolivia,43.6,113.36,40.112,348.8
Bosnia and Herzegovina,48.275,125.515,44.413000000000004,386.2
Botswana,44.875,116.675,41.285,359.0
Brazil,47.099999999999994,122.46,43.332,376.79999999999995
Brunei,46.275,120.315,42.573,370.2
Bulgaria,47.875,124.47500000000001,44.045,383.0
Burkina Faso,42.875,111.47500000000001,39.445,343.0
Burundi,41.4,107.64,38.088,331.2
Cambodia,43.9,114.14,40.388,351.2
Cameroon,43.275000000000006,112.515,39.813,346.20000000000005
Canada,48.125,125.125,44.275,385.0
Cape Verde,46.025,119.66499999999999,42.342999999999996,368.2
Central African Republic,42.35,110.11,38.961999999999996,338.8
Chad,42.375,110.175,38.985,339.0
Chile,46.800000000000004,121.68,43.056000000000004,374.40000000000003
China,47.175,122.655,43.401,377.4
Colombia,45.275,117.715,41.653,362.2
Comoros,43.3,112.58,39.836,346.4
Congo,43.225,112.385,39.767,345.8
Costa Rica,46.9,121.94,43.147999999999996,375.2
Cote d'Ivoire,43.125,112.125,39.675000000000004,345.0
Croatia,47.825,124.345,43.999,382.6
Cuba,47.05,122.33,43.285999999999994,376.4
Cyprus,48.6,126.36,44.711999999999996,388.8
Czechia,48.675000000000004,126.555,44.781,389.40000000000003
Democratic Republic of Congo,41.449999999999996,107.77,38.134,331.59999999999997
Denmark,48.725,126.685,44.827,389.8
Djibouti,46.425,120.705,42.711,371.4
Dominica,47.3,122.97999999999999,43.516,378.4
Dominican Republic,46.025,119.66499999999999,42.342999999999996,368.2
Ecuador,44.3,115.18,40.756,354.4
Egypt,45.15,117.39,41.538000000000004,361.2
El Salvador,43.974999999999994,114.335,40.457,351.79999999999995
Equatorial Guinea,44.6,115.96000000000001,41.032000000000004,356.8
Eritrea,42.675000000000004,110.955,39.261,341.40000000000003
Estonia,48.725,126.685,44.827,389.8
Eswatini,43.85,114.01,40.342,350.8
Ethiopia,42.725,111.08500000000001,39.307,341.8
Fiji,45.775,119.015,42.113,366.2
Finland,48.75,126.75,44.85,390.0
France,47.825,124.345,43.999,382.6
French Polynesia,46.925,122.005,43.171,375.4
Gabon,44.35,115.31,40.802,354.8
Gambia,43.4,112.84,39.928,347.2
Georgia,47.675,123.955,43.861000000000004,381.4
Germany,48.875,127.075,44.965,391.0
Ghana,44.324999999999996,115.24499999999999,40.778999999999996,354.59999999999997
Greece,48.3,125.58,44.436,386.4
Grenada,47.15,122.58999999999999,43.378,377.2
Guatemala,42.05,109.33,38.686,336.4
Guinea,42.475,110.435,39.077,339.8
Guinea-Bissau,42.975,111.735,39.537,343.8
Guyana,45.1,117.26,41.492000000000004,360.8
Haiti,44.875,116.675,41.285,359.0
Honduras,43.824999999999996,113.945,40.318999999999996,350.59999999999997
Hong Kong,47.599999999999994,123.75999999999999,43.792,380.79999999999995
Hungary,48.55,126.22999999999999,44.666,388.4
Iceland,48.475,126.035,44.597,387.8
India,44.45,115.57000000000001,40.894,355.6
Indonesia,44.45,115.57000000000001,40.894,355.6
Iran,46.125,119.925,42.435,369.0
Iraq,43.875,114.07499999999999,40.364999999999995,351.0
Ireland,47.475,123.435,43.677,379.8
Israel,44.525,115.765,40.963,356.2
Italy,48.25,125.45,44.39,386.0
Jamaica,46.949999999999996,122.07,43.193999999999996,375.59999999999997
Japan,46.475,120.835,42.757,371.8
Jordan,44.6,115.96000000000001,41.032000000000004,356.8
Kazakhstan,46.1,119.86,42.412,368.8
Kenya,42.575,110.69500000000001,39.169000000000004,340.6
Kiribati,42.8,111.28,39.376,342.4
Kuwait,47.525,123.565,43.723,380.2
Kyrgyzstan,45.475,118.235,41.836999999999996,363.8
Laos,44.95,116.87,41.354,359.6
Latvia,47.425,123.305,43.631,379.4
Lebanon,46.2,120.12,42.504000000000005,369.6
Lesotho,44.425,115.505,40.870999999999995,355.4
Liberia,42.725,111.08500000000001,39.307,341.8
Libya,46.0,119.60000000000001,42.32,368.0
Lithuania,47.575,123.69500000000001,43.769,380.6
Luxembourg,49.2,127.92,45.263999999999996,393.6
Macao,47.8,124.28,43.976,382.4
Madagascar,41.9,108.94,38.548,335.2
Malawi,41.875,108.875,38.525,335.0
Malaysia,45.800000000000004,119.08,42.136,366.40000000000003
Maldives,46.25,120.25,42.550000000000004,370.0
Mali,41.25,107.25,37.949999999999996,330.0
Malta,48.525,126.165,44.643,388.2
Mauritania,43.575,113.295,40.089000000000006,348.6
Mauritius,46.75,121.55000000000001,43.010000000000005,374.0
Mexico,45.75,118.95,42.09,366.0
Micronesia,43.6,113.36,40.112,348.8
Moldova,48.4,125.84,44.528,387.2
Mongolia,45.300000000000004,117.78,41.676,362.40000000000003
Montenegro,47.75,124.14999999999999,43.93,382.0
Morocco,45.824999999999996,119.145,42.159,366.59999999999997
Mozambique,41.725,108.485,38.387,333.8
Myanmar,44.35,115.31,40.802,354.8
Namibia,43.675000000000004,113.555,40.181000000000004,349.40000000000003
Nepal,43.175000000000004,112.25500000000001,39.721000000000004,345.40000000000003
Netherlands,49.3,128.18,45.356,394.4
New Caledonia,44.875,116.675,41.285,359.0
New Zealand,47.675,123.955,43.861000000000004,381.4
Nicaragua,44.25,115.05,40.71,354.0
Niger,41.449999999999996,107.77,38.134,331.59999999999997
Nigeria,42.35,110.11,38.961999999999996,338.8
North Korea,46.35,120.51,42.642,370.8
North Macedonia,48.275,125.515,44.413000000000004,386.2
Norway,48.725,126.685,44.827,389.8
Oman,47.925000000000004,124.605,44.091,383.40000000000003
Pakistan,43.575,113.295,40.089000000000006,348.6
Palestine,43.0,111.8,39.56,344.0
Panama,44.425,115.505,40.870999999999995,355.4
Papua New Guinea,42.775,111.215,39.353,342.2
Paraguay,45.45,118.17,41.814,363.6
Peru,44.4,115.44,40.848,355.2
Philippines,43.3,112.58,39.836,346.4
Poland,48.4,125.84,44.528,387.2
Portugal,47.875,124.47500000000001,44.045,383.0
Puerto Rico,47.05,122.33,43.285999999999994,376.4
Qatar,51.74999999999999,134.54999999999998,47.61,413.99999999999994
Romania,47.975,124.735,44.137,383.8
Russia,47.725,124.08500000000001,43.907000000000004,381.8
Rwanda,42.875,111.47500000000001,39.445,343.0
Saint Kitts and Nevis,47.15,122.58999999999999,43.378,377.2
Saint Lucia,47.85,124.41,44.022,382.8
Saint Vincent and the Grenadines,47.175,122.655,43.401,377.4
Samoa,44.025,114.46499999999999,40.503,352.2
Sao Tome and Principe,43.425000000000004,112.905,39.951,347.40000000000003
Saudi Arabia,46.35,120.51,42.642,370.8
Senegal,43.525000000000006,113.165,40.043,348.20000000000005
Serbia,47.875,124.47500000000001,44.045,383.0
Seychelles,46.425,120.705,42.711,371.4
Sierra Leone,43.025000000000006,111.86500000000001,39.583,344.20000000000005
Singapore,48.15,125.19,44.298,385.2
Slovakia,48.975,127.33500000000001,45.057,391.8
Slovenia,48.05,124.92999999999999,44.205999999999996,384.4
Solomon Islands,42.35,110.11,38.961999999999996,338.8
Somalia,42.625,110.825,39.215,341.0
South Africa,46.375,120.575,42.665,371.0
South Korea,47.425,123.305,43.631,379.4
South Sudan,42.75,111.14999999999999,39.33,342.0
Spain,48.05,124.92999999999999,44.205999999999996,384.4
Sri Lanka,44.474999999999994,115.63499999999999,40.917,355.79999999999995
Sudan,43.025000000000006,111.86500000000001,39.583,344.20000000000005
Suriname,45.775,119.015,42.113,366.2
Sweden,48.575,126.295,44.689,388.6
Switzerland,49.125,127.72500000000001,45.195,393.0
Syria,44.7,116.22,41.124,357.6
Taiwan,47.725,124.08500000000001,43.907000000000004,381.8
Tajikistan,44.474999999999994,115.63499999999999,40.917,355.79999999999995
Tanzania,41.725,108.485,38.387,333.8
Thailand,47.175,122.655,43.401,377.4
Timor,42.05,109.33,38.686,336.4
Togo,43.175000000000004,112.25500000000001,39.721000000000004,345.40000000000003
Tonga,45.725,118.88499999999999,42.067,365.8
Trinidad and Tobago,46.800000000000004,121.68,43.056000000000004,374.40000000000003
Tunisia,45.7,118.82000000000001,42.044000000000004,365.6
Turkey,46.125,119.925,42.435,369.0
Turkmenistan,44.9,116.74000000000001,41.308,359.2
Uganda,42.0,109.2,38.64,336.0
Ukraine,47.8,124.28,43.976,382.4
United Arab Emirates,51.55,134.03,47.425999999999995,412.4
United Kingdom,47.8,124.28,43.976,382.4
United States,48.75,126.75,44.85,390.0
Uruguay,46.475,120.835,42.757,371.8
Uzbekistan,46.075,119.795,42.388999999999996,368.6
Vanuatu,42.3,109.97999999999999,38.916,338.4
Venezuela,45.300000000000004,117.78,41.676,362.40000000000003
Vietnam,44.725,116.285,41.147,357.8
World,45.6,118.56,41.952,364.8
Yemen,42.275,109.915,38.893,338.2
Zambia,42.025,109.265,38.663000000000004,336.2
Zimbabwe,43.25,112.45,39.79,346.0
