Area,latitude,longitude,clusters
afghanistan,33.94,67.71,4
albania,41.15,20.17,7
algeria,28.03,1.66,6
angola,-11.2,17.87,5
antigua and barbuda,17.06,-61.8,2
argentina,-38.42,-63.62,2
armenia,40.07,45.04,4
australia,-25.27,133.78,1
austria,47.52,14.55,7
azerbaijan,40.14,47.58,4
bahamas,25.03,-77.4,2
bangladesh,23.68,90.36,1
barbados,13.19,-59.54,2
belarus,53.71,27.95,7
belgium,50.5,4.47,7
belize,17.19,-88.5,2
benin,9.31,2.32,6
bermuda,32.32,-64.76,2
bolivia,-16.29,-63.59,2
bosnia and herzegovina,43.92,17.68,7
botswana,-22.33,24.68,5
brazil,-14.24,-51.93,2
brunei,4.54,114.73,1
bulgaria,42.73,25.49,7
burkina faso,12.24,-1.56,6
cambodia,12.57,104.99,1
cameroon,7.37,12.35,6
canada,56.13,-106.35,8
central african republic,6.61,20.94,5
chad,15.45,18.73,6
chile,-35.68,-71.54,2
china,35.86,104.2,1
colombia,4.57,-74.3,2
congo,-0.23,15.83,5
costa rica,9.75,-83.75,2
croatia,45.1,15.2,7
cuba,21.52,-77.78,2
cyprus,35.13,33.43,4
czechia,49.82,15.47,7
denmark,56.26,9.5,7
djibouti,11.83,42.59,4
dominica,15.41,-61.37,2
dominican republic,18.74,-70.16,2
ecuador,-1.83,-78.18,2
egypt,26.82,30.8,4
el salvador,13.79,-88.9,2
estonia,58.6,25.01,7
ethiopia,9.15,40.49,5
fiji,-16.58,179.41,1
finland,61.92,25.75,7
france,46.23,2.21,7
french polynesia,-17.68,-149.41,3
gabon,-0.8,11.61,6
gambia,13.44,-15.31,6
georgia,42.32,43.36,4
germany,51.17,10.45,7
ghana,7.95,-1.02,6
greece,39.07,21.82,7
grenada,12.26,-61.6,2
guatemala,15.78,-90.23,2
guinea,9.95,-9.7,6
guinea-bissau,11.8,-15.18,6
guyana,4.86,-58.93,2
haiti,18.97,-72.29,2
honduras,15.2,-86.24,2
hong kong,22.4,114.11,1
hungary,47.16,19.5,7
iceland,64.96,-19.02,7
india,20.59,78.96,4
indonesia,-0.79,113.92,1
iran,32.43,53.69,4
iraq,33.22,43.68,4
ireland,53.41,-8.24,7
israel,31.05,34.85,4
italy,41.87,12.57,7
jamaica,18.11,-77.3,2
japan,36.2,138.25,1
jordan,30.59,36.24,4
kazakhstan,48.02,66.92,4
kenya,-0.02,37.91,5
kiribati,-3.37,-168.73,3
kuwait,29.31,47.48,4
kyrgyzstan,41.2,74.77,4
laos,19.86,102.5,1
latvia,56.88,24.6,7
lebanon,33.85,35.86,4
lesotho,-29.61,28.23,5
liberia,6.43,-9.43,6
lithuania,55.17,23.88,7
luxembourg,49.82,6.13,7
macao,22.2,113.54,1
madagascar,-18.77,46.87,5
malawi,-13.25,34.3,5
malaysia,4.21,101.98,1
maldives,3.2,73.22,4
mali,17.57,-4.0,6
malta,35.94,14.38,7
mauritania,21.01,-10.94,6
mauritius,-20.35,57.55,5
mexico,23.63,-102.55,8
moldova,47.41,28.37,7
mongolia,46.86,103.85,1
montenegro,42.71,19.37,7
morocco,31.79,-7.09,6
mozambique,-18.67,35.53,5
myanmar,21.91,95.96,1
namibia,-22.96,18.49,5
nepal,28.39,84.12,4
netherlands,52.13,5.29,7
new caledonia,-20.9,165.62,1
new zealand,-40.9,174.89,1
nicaragua,12.87,-85.21,2
niger,17.61,8.08,6
nigeria,9.08,8.68,6
north macedonia,41.61,21.75,7
norway,60.47,8.47,7
oman,21.51,55.92,4
pakistan,30.38,69.35,4
panama,8.54,-80.78,2
paraguay,-23.44,-58.44,2
peru,-9.19,-75.02,2
philippines,12.88,121.77,1
poland,51.92,19.15,7
portugal,39.4,-8.22,7
romania,45.94,24.97,7
russia,61.52,105.32,1
rwanda,-1.94,29.87,5
saint kitts and nevis,17.36,-62.78,2
saint lucia,13.91,-60.98,2
saint vincent and the grenadines,12.98,-61.29,2
samoa,-13.76,-172.1,3
sao tome and principe,0.19,6.61,6
saudi arabia,23.89,45.08,4
senegal,14.5,-14.45,6
serbia,44.02,21.01,7
sierra leone,8.46,-11.78,6
slovakia,48.67,19.7,7
slovenia,46.15,15.0,7
solomon islands,-9.65,160.16,1
south africa,-30.56,22.94,5
spain,40.46,-3.75,7
sri lanka,7.87,80.77,4
sudan,12.86,30.22,5
suriname,3.92,-56.03,2
sweden,60.13,18.64,7
switzerland,46.82,8.23,7
taiwan,23.7,120.96,1
tajikistan,38.86,71.28,4
tanzania,-6.37,34.89,5
thailand,15.87,100.99,1
togo,8.62,0.82,6
trinidad and tobago,10.69,-61.22,2
tunisia,33.89,9.54,7
turkey,38.96,35.24,4
turkmenistan,38.97,59.56,4
uganda,1.37,32.29,5
ukraine,48.38,31.17,7
united arab emirates,23.42,53.85,4
united kingdom,55.38,-3.44,7
united states,37.09,-95.71,8
uruguay,-32.52,-55.77,2
uzbekistan,41.38,64.59,4
vanuatu,-15.38,166.96,1
venezuela,6.42,-66.59,2
vietnam,14.06,108.28,1
yemen,15.55,48.52,4
zambia,-13.13,27.85,5
zimbabwe,-19.02,29.15,5
